"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"2","1.001576","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"3","2.004548","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"4","2.126793","192.168.0.22","192.168.0.1","DNS","76","Standard query 0xd809 A us05www3.zoom.us"
"5","2.134102","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0xd809 A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"6","2.146347","192.168.0.22","170.114.52.5","TCP","66","64184  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7","2.152299","170.114.52.5","192.168.0.22","TCP","66","443  >  64184 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"8","2.152455","192.168.0.22","170.114.52.5","TCP","54","64184  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"9","2.164679","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"10","2.211932","170.114.52.5","192.168.0.22","TCP","54","443  >  64184 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"11","2.330315","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x7c5c A wpad.flets-west.jp"
"12","2.331510","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x7c5c No such name A wpad.flets-west.jp"
"13","2.332393","192.168.0.22","192.168.0.1","DNS","73","Standard query 0x8171 A wpad.iptvf.jp"
"14","2.333302","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0x8171 No such name A wpad.iptvf.jp"
"15","2.411058","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"16","2.411058","170.114.52.5","192.168.0.22","TCP","682","443  >  64184 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"17","2.411058","170.114.52.5","192.168.0.22","TCP","1474","443  >  64184 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"18","2.411058","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"19","2.411184","192.168.0.22","170.114.52.5","TCP","54","64184  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0"
"20","2.411300","170.114.52.5","192.168.0.22","TCP","529","[TCP Spurious Retransmission] 443  >  64184 [PSH, ACK] Seq=3469 Ack=518 Win=65536 Len=475"
"21","2.411320","192.168.0.22","170.114.52.5","TCP","66","[TCP Dup ACK 19#1] 64184  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0 SLE=3469 SRE=3944"
"22","2.415699","192.168.0.22","170.114.52.5","TLSv1.3","134","Change Cipher Spec, Application Data"
"23","2.415889","192.168.0.22","170.114.52.5","TLSv1.3","3141","Application Data"
"24","2.421352","170.114.52.5","192.168.0.22","TCP","54","443  >  64184 [ACK] Seq=3944 Ack=598 Win=57344 Len=0"
"25","2.421827","170.114.52.5","192.168.0.22","TCP","54","443  >  64184 [ACK] Seq=3944 Ack=2018 Win=57344 Len=0"
"26","2.421827","170.114.52.5","192.168.0.22","TCP","54","443  >  64184 [ACK] Seq=3944 Ack=3685 Win=57344 Len=0"
"27","2.853022","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"28","2.853022","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"29","2.853130","192.168.0.22","170.114.52.5","TCP","54","64184  >  443 [ACK] Seq=3685 Ack=6784 Win=131840 Len=0"
"30","2.853281","170.114.52.5","192.168.0.22","TLSv1.3","1310","Application Data"
"31","2.853281","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"32","2.853349","192.168.0.22","170.114.52.5","TCP","54","64184  >  443 [ACK] Seq=3685 Ack=9460 Win=131840 Len=0"
"33","2.853461","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"34","2.853567","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"35","2.853567","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"36","2.853656","192.168.0.22","170.114.52.5","TCP","54","64184  >  443 [ACK] Seq=3685 Ack=13720 Win=131840 Len=0"
"37","2.853747","170.114.52.5","192.168.0.22","TLSv1.3","1411","Application Data, Application Data"
"38","2.853796","192.168.0.22","170.114.52.5","TCP","54","64184  >  443 [ACK] Seq=3685 Ack=15077 Win=130560 Len=0"
"39","2.856015","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"40","2.856165","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"41","2.856213","192.168.0.22","170.114.52.5","TCP","54","64184  >  443 [ACK] Seq=3685 Ack=17917 Win=131840 Len=0"
"42","2.856373","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"43","2.856597","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"44","2.856597","170.114.52.5","192.168.0.22","TLSv1.3","389","Application Data, Application Data"
"45","2.856657","192.168.0.22","170.114.52.5","TCP","54","64184  >  443 [ACK] Seq=3685 Ack=21092 Win=131840 Len=0"
"46","3.018575","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"47","3.138347","192.168.0.22","192.168.0.1","DNS","86","Standard query 0xcd42 AAAA zoomdcala253zc.dca.zoom.us"
"48","3.138601","192.168.0.22","192.168.0.1","DNS","86","Standard query 0x0169 AAAA zoomdcakz253zc.dca.zoom.us"
"49","3.138710","192.168.0.22","192.168.0.1","DNS","86","Standard query 0x67b0 AAAA zoompaobj253zc.pao.zoom.us"
"50","3.138749","192.168.0.22","206.247.38.253","TCP","66","64187  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"51","3.138799","192.168.0.22","192.168.0.1","DNS","86","Standard query 0x6e1f AAAA zoompaobi253zc.pao.zoom.us"
"52","3.139500","192.168.0.1","192.168.0.22","DNS","86","Standard query response 0xcd42 AAAA zoomdcala253zc.dca.zoom.us"
"53","3.139750","192.168.0.1","192.168.0.22","DNS","86","Standard query response 0x0169 AAAA zoomdcakz253zc.dca.zoom.us"
"54","3.140785","192.168.0.1","192.168.0.22","DNS","86","Standard query response 0x67b0 AAAA zoompaobj253zc.pao.zoom.us"
"55","3.140785","192.168.0.1","192.168.0.22","DNS","86","Standard query response 0x6e1f AAAA zoompaobi253zc.pao.zoom.us"
"56","3.149148","192.168.0.22","206.247.39.253","TCP","66","64188  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"57","3.149364","192.168.0.22","144.195.34.253","TCP","66","64189  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"58","3.149516","192.168.0.22","144.195.35.253","TCP","66","64190  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"59","3.270544","144.195.35.253","192.168.0.22","TCP","66","443  >  64190 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"60","3.270655","192.168.0.22","144.195.35.253","TCP","54","64190  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"61","3.271080","192.168.0.22","144.195.35.253","TLSv1.3","571","Client Hello"
"62","3.273587","144.195.34.253","192.168.0.22","TCP","66","443  >  64189 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"63","3.273653","192.168.0.22","144.195.34.253","TCP","54","64189  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"64","3.273849","192.168.0.22","144.195.34.253","TLSv1.3","571","Client Hello"
"65","3.332422","206.247.38.253","192.168.0.22","TCP","66","443  >  64187 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"66","3.332422","206.247.39.253","192.168.0.22","TCP","66","443  >  64188 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"67","3.332584","192.168.0.22","206.247.38.253","TCP","54","64187  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"68","3.332638","192.168.0.22","206.247.39.253","TCP","54","64188  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"69","3.332900","192.168.0.22","206.247.38.253","TLSv1.3","571","Client Hello"
"70","3.333176","192.168.0.22","206.247.39.253","TLSv1.3","571","Client Hello"
"71","3.435018","144.195.35.253","192.168.0.22","TCP","54","443  >  64190 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"72","3.435018","144.195.35.253","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"73","3.435018","144.195.34.253","192.168.0.22","TCP","54","443  >  64189 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"74","3.435018","144.195.34.253","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"75","3.435422","192.168.0.22","144.195.35.253","TLSv1.3","577","Change Cipher Spec, Client Hello"
"76","3.435651","192.168.0.22","144.195.34.253","TLSv1.3","577","Change Cipher Spec, Client Hello"
"77","3.537302","206.247.39.253","192.168.0.22","TCP","54","443  >  64188 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"78","3.537302","206.247.39.253","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"79","3.537302","206.247.38.253","192.168.0.22","TCP","54","443  >  64187 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"80","3.537513","206.247.38.253","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"81","3.537724","192.168.0.22","206.247.39.253","TLSv1.3","577","Change Cipher Spec, Client Hello"
"82","3.537942","192.168.0.22","206.247.38.253","TLSv1.3","577","Change Cipher Spec, Client Hello"
"83","3.557860","144.195.35.253","192.168.0.22","TLSv1.3","1474","Server Hello, Application Data"
"84","3.558144","144.195.35.253","192.168.0.22","TCP","1474","443  >  64190 [ACK] Seq=1520 Ack=1041 Win=45056 Len=1420 [TCP segment of a reassembled PDU]"
"85","3.558238","192.168.0.22","144.195.35.253","TCP","54","64190  >  443 [ACK] Seq=1041 Ack=2940 Win=131840 Len=0"
"86","3.558336","144.195.35.253","192.168.0.22","TCP","1310","443  >  64190 [PSH, ACK] Seq=2940 Ack=1041 Win=45056 Len=1256 [TCP segment of a reassembled PDU]"
"87","3.559312","144.195.35.253","192.168.0.22","TLSv1.3","968","Application Data, Application Data, Application Data"
"88","3.559361","192.168.0.22","144.195.35.253","TCP","54","64190  >  443 [ACK] Seq=1041 Ack=5110 Win=131840 Len=0"
"89","3.561533","144.195.34.253","192.168.0.22","TLSv1.3","1474","Server Hello, Application Data"
"90","3.561711","144.195.34.253","192.168.0.22","TCP","1474","443  >  64189 [ACK] Seq=1520 Ack=1041 Win=45056 Len=1420 [TCP segment of a reassembled PDU]"
"91","3.561828","192.168.0.22","144.195.34.253","TCP","54","64189  >  443 [ACK] Seq=1041 Ack=2940 Win=131840 Len=0"
"92","3.561907","144.195.34.253","192.168.0.22","TCP","1310","443  >  64189 [PSH, ACK] Seq=2940 Ack=1041 Win=45056 Len=1256 [TCP segment of a reassembled PDU]"
"93","3.562691","144.195.34.253","192.168.0.22","TLSv1.3","968","Application Data, Application Data, Application Data"
"94","3.562754","192.168.0.22","144.195.34.253","TCP","54","64189  >  443 [ACK] Seq=1041 Ack=5110 Win=131840 Len=0"
"95","3.563060","192.168.0.22","144.195.35.253","TLSv1.3","128","Application Data"
"96","3.563378","192.168.0.22","144.195.35.253","TLSv1.3","201","Application Data"
"97","3.566195","192.168.0.22","144.195.34.253","TLSv1.3","128","Application Data"
"98","3.566352","192.168.0.22","144.195.34.253","TLSv1.3","201","Application Data"
"99","3.684304","144.195.35.253","192.168.0.22","TLSv1.3","133","Application Data"
"100","3.684304","144.195.35.253","192.168.0.22","TLSv1.3","133","Application Data"
"101","3.684397","192.168.0.22","144.195.35.253","TCP","54","64190  >  443 [ACK] Seq=1262 Ack=5268 Win=131840 Len=0"
"102","3.685133","144.195.35.253","192.168.0.22","TLSv1.3","122","Application Data"
"103","3.685477","192.168.0.22","144.195.35.253","TLSv1.3","1145","Application Data"
"104","3.690437","144.195.34.253","192.168.0.22","TLSv1.3","133","Application Data"
"105","3.690437","144.195.34.253","192.168.0.22","TLSv1.3","133","Application Data"
"106","3.690522","192.168.0.22","144.195.34.253","TCP","54","64189  >  443 [ACK] Seq=1262 Ack=5268 Win=131840 Len=0"
"107","3.691172","144.195.34.253","192.168.0.22","TLSv1.3","122","Application Data"
"108","3.691424","192.168.0.22","144.195.34.253","TLSv1.3","1145","Application Data"
"109","3.742485","206.247.39.253","192.168.0.22","TLSv1.3","1474","Server Hello, Application Data"
"110","3.742485","206.247.39.253","192.168.0.22","TCP","1474","443  >  64188 [ACK] Seq=1520 Ack=1041 Win=45056 Len=1420 [TCP segment of a reassembled PDU]"
"111","3.742485","206.247.39.253","192.168.0.22","TCP","1310","443  >  64188 [PSH, ACK] Seq=2940 Ack=1041 Win=45056 Len=1256 [TCP segment of a reassembled PDU]"
"112","3.742485","206.247.39.253","192.168.0.22","TLSv1.3","972","Application Data, Application Data, Application Data"
"113","3.742485","206.247.38.253","192.168.0.22","TLSv1.3","1474","Server Hello, Application Data"
"114","3.742485","206.247.38.253","192.168.0.22","TCP","1474","443  >  64187 [ACK] Seq=1520 Ack=1041 Win=45056 Len=1420 [TCP segment of a reassembled PDU]"
"115","3.742485","206.247.38.253","192.168.0.22","TCP","1310","443  >  64187 [PSH, ACK] Seq=2940 Ack=1041 Win=45056 Len=1256 [TCP segment of a reassembled PDU]"
"116","3.742485","206.247.38.253","192.168.0.22","TLSv1.3","972","Application Data, Application Data, Application Data"
"117","3.742788","192.168.0.22","206.247.39.253","TCP","54","64188  >  443 [ACK] Seq=1041 Ack=5114 Win=131840 Len=0"
"118","3.742825","192.168.0.22","206.247.38.253","TCP","54","64187  >  443 [ACK] Seq=1041 Ack=5114 Win=131840 Len=0"
"119","3.745381","192.168.0.22","206.247.39.253","TLSv1.3","128","Application Data"
"120","3.745561","192.168.0.22","206.247.39.253","TLSv1.3","201","Application Data"
"121","3.747230","192.168.0.22","206.247.38.253","TLSv1.3","128","Application Data"
"122","3.747359","192.168.0.22","206.247.38.253","TLSv1.3","201","Application Data"
"123","3.844676","144.195.35.253","192.168.0.22","TLSv1.3","933","Application Data"
"124","3.844676","144.195.34.253","192.168.0.22","TLSv1.3","941","Application Data"
"125","3.845795","192.168.0.22","206.247.38.253","TLSv1.3","78","Application Data"
"126","3.845911","192.168.0.22","206.247.38.253","TCP","54","64187  >  443 [FIN, ACK] Seq=1286 Ack=5114 Win=131840 Len=0"
"127","3.846089","192.168.0.22","206.247.39.253","TLSv1.3","78","Application Data"
"128","3.846132","192.168.0.22","206.247.39.253","TCP","54","64188  >  443 [FIN, ACK] Seq=1286 Ack=5114 Win=131840 Len=0"
"129","3.846276","192.168.0.22","144.195.34.253","TLSv1.3","88","Application Data"
"130","3.846344","192.168.0.22","144.195.34.253","TLSv1.3","78","Application Data"
"131","3.846389","192.168.0.22","144.195.34.253","TCP","54","64189  >  443 [FIN, ACK] Seq=2411 Ack=6223 Win=130816 Len=0"
"132","3.846536","192.168.0.22","144.195.35.253","TLSv1.3","88","Application Data"
"133","3.846602","192.168.0.22","144.195.35.253","TLSv1.3","78","Application Data"
"134","3.846639","192.168.0.22","144.195.35.253","TCP","54","64190  >  443 [FIN, ACK] Seq=2411 Ack=6215 Win=130816 Len=0"
"135","3.947081","206.247.39.253","192.168.0.22","TLSv1.3","133","Application Data"
"136","3.947081","206.247.39.253","192.168.0.22","TLSv1.3","133","Application Data"
"137","3.947081","206.247.39.253","192.168.0.22","TLSv1.3","122","Application Data"
"138","3.947081","206.247.38.253","192.168.0.22","TLSv1.3","133","Application Data"
"139","3.947081","206.247.38.253","192.168.0.22","TLSv1.3","133","Application Data"
"140","3.947211","192.168.0.22","206.247.39.253","TCP","54","64188  >  443 [RST, ACK] Seq=1287 Ack=5193 Win=0 Len=0"
"141","3.947375","192.168.0.22","206.247.38.253","TCP","54","64187  >  443 [RST, ACK] Seq=1287 Ack=5193 Win=0 Len=0"
"142","3.947467","206.247.38.253","192.168.0.22","TLSv1.3","122","Application Data"
"143","3.948097","192.168.0.22","192.168.0.1","DNS","86","Standard query 0x43ce A zoompaobl36mmr.pao.zoom.us"
"144","3.948155","192.168.0.22","192.168.0.1","DNS","86","Standard query 0xb8f3 AAAA zoompaobl36mmr.pao.zoom.us"
"145","3.963175","192.168.0.1","192.168.0.22","DNS","102","Standard query response 0x43ce A zoompaobl36mmr.pao.zoom.us A 144.195.37.36"
"146","3.963416","192.168.0.1","192.168.0.22","DNS","171","Standard query response 0xb8f3 AAAA zoompaobl36mmr.pao.zoom.us SOA ns-1403.awsdns-47.org"
"147","3.964542","192.168.0.22","144.195.37.36","TCP","66","64191  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"148","3.967173","144.195.35.253","192.168.0.22","TLSv1.3","78","Application Data"
"149","3.967291","192.168.0.22","144.195.35.253","TCP","54","64190  >  443 [RST, ACK] Seq=2412 Ack=6239 Win=0 Len=0"
"150","3.967444","144.195.35.253","192.168.0.22","TCP","54","443  >  64190 [FIN, ACK] Seq=6239 Ack=2387 Win=49152 Len=0"
"151","3.968182","144.195.35.253","192.168.0.22","TCP","54","443  >  64190 [RST] Seq=6215 Win=0 Len=0"
"152","3.968182","144.195.35.253","192.168.0.22","TCP","54","443  >  64190 [RST] Seq=6215 Win=0 Len=0"
"153","3.970739","144.195.34.253","192.168.0.22","TLSv1.3","78","Application Data"
"154","3.970739","144.195.34.253","192.168.0.22","TCP","54","443  >  64189 [RST, ACK] Seq=6247 Ack=2412 Win=49152 Len=0"
"155","3.970847","192.168.0.22","144.195.34.253","TCP","54","64189  >  443 [RST, ACK] Seq=2412 Ack=6247 Win=0 Len=0"
"156","4.029739","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"157","4.049611","206.247.39.253","192.168.0.22","TLSv1.3","78","Application Data"
"158","4.049611","206.247.39.253","192.168.0.22","TCP","54","443  >  64188 [FIN, ACK] Seq=5364 Ack=1287 Win=49152 Len=0"
"159","4.049611","206.247.38.253","192.168.0.22","TLSv1.3","78","Application Data"
"160","4.049611","206.247.38.253","192.168.0.22","TCP","54","443  >  64187 [FIN, ACK] Seq=5364 Ack=1286 Win=49152 Len=0"
"161","4.049611","206.247.38.253","192.168.0.22","TCP","54","443  >  64187 [ACK] Seq=5365 Ack=1287 Win=49152 Len=0"
"162","4.088077","144.195.37.36","192.168.0.22","TCP","66","443  >  64191 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"163","4.088235","192.168.0.22","144.195.37.36","TCP","54","64191  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"164","4.088706","192.168.0.22","144.195.37.36","TLSv1.3","571","Client Hello"
"165","4.254161","144.195.37.36","192.168.0.22","TCP","54","443  >  64191 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"166","4.254161","144.195.37.36","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"167","4.254728","192.168.0.22","144.195.37.36","TLSv1.3","577","Change Cipher Spec, Client Hello"
"168","4.380274","144.195.37.36","192.168.0.22","TLSv1.3","1474","Server Hello, Application Data"
"169","4.380274","144.195.37.36","192.168.0.22","TCP","1474","443  >  64191 [ACK] Seq=1520 Ack=1041 Win=45056 Len=1420 [TCP segment of a reassembled PDU]"
"170","4.380388","192.168.0.22","144.195.37.36","TCP","54","64191  >  443 [ACK] Seq=1041 Ack=2940 Win=131840 Len=0"
"171","4.380540","144.195.37.36","192.168.0.22","TCP","1310","443  >  64191 [PSH, ACK] Seq=2940 Ack=1041 Win=45056 Len=1256 [TCP segment of a reassembled PDU]"
"172","4.381640","144.195.37.36","192.168.0.22","TLSv1.3","968","Application Data, Application Data, Application Data"
"173","4.381667","192.168.0.22","144.195.37.36","TCP","54","64191  >  443 [ACK] Seq=1041 Ack=5110 Win=131840 Len=0"
"174","4.384184","192.168.0.22","144.195.37.36","TLSv1.3","128","Application Data"
"175","4.384457","192.168.0.22","144.195.37.36","TLSv1.3","203","Application Data"
"176","4.507942","144.195.37.36","192.168.0.22","TLSv1.3","133","Application Data"
"177","4.507942","144.195.37.36","192.168.0.22","TLSv1.3","133","Application Data"
"178","4.507942","144.195.37.36","192.168.0.22","TLSv1.3","122","Application Data"
"179","4.508052","192.168.0.22","144.195.37.36","TCP","54","64191  >  443 [ACK] Seq=1264 Ack=5336 Win=131584 Len=0"
"180","4.508538","192.168.0.22","144.195.37.36","TLSv1.3","3348","Application Data"
"181","4.663729","144.195.37.36","192.168.0.22","TCP","54","443  >  64191 [ACK] Seq=5336 Ack=4104 Win=53248 Len=0"
"182","4.663729","144.195.37.36","192.168.0.22","TLSv1.3","97","Application Data"
"183","4.710369","192.168.0.22","144.195.37.36","TCP","54","64191  >  443 [ACK] Seq=4558 Ack=5379 Win=131584 Len=0"
"184","4.766298","144.195.37.36","192.168.0.22","TCP","1474","443  >  64191 [ACK] Seq=5379 Ack=4558 Win=57344 Len=1420 [TCP segment of a reassembled PDU]"
"185","4.766298","144.195.37.36","192.168.0.22","TLSv1.3","768","Application Data"
"186","4.766298","144.195.37.36","192.168.0.22","TLSv1.3","213","Application Data"
"187","4.766298","144.195.37.36","192.168.0.22","TLSv1.3","173","Application Data"
"188","4.766416","192.168.0.22","144.195.37.36","TCP","54","64191  >  443 [ACK] Seq=4558 Ack=7791 Win=131840 Len=0"
"189","4.766513","144.195.37.36","192.168.0.22","TLSv1.3","1474","Application Data"
"190","4.766513","144.195.37.36","192.168.0.22","TLSv1.3","1434","Application Data"
"191","4.766513","144.195.37.36","192.168.0.22","TLSv1.3","115","Application Data"
"192","4.766513","144.195.37.36","192.168.0.22","TLSv1.3","115","Application Data"
"193","4.766610","192.168.0.22","144.195.37.36","TCP","54","64191  >  443 [ACK] Seq=4558 Ack=10713 Win=131840 Len=0"
"194","4.766657","144.195.37.36","192.168.0.22","TLSv1.3","115","Application Data"
"195","4.774345","192.168.0.22","144.195.37.36","TLSv1.3","97","Application Data"
"196","4.774835","192.168.0.22","144.195.37.36","TLSv1.3","126","Application Data"
"197","4.793874","192.168.0.22","144.195.37.36","TCP","66","64192  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"198","4.794089","192.168.0.22","144.195.37.36","TLSv1.3","393","Application Data"
"199","4.794241","192.168.0.22","144.195.37.36","TLSv1.3","316","Application Data"
"200","4.794345","192.168.0.22","144.195.37.36","TLSv1.3","329","Application Data"
"201","4.794451","192.168.0.22","144.195.37.36","TLSv1.3","282","Application Data"
"202","4.794537","192.168.0.22","144.195.37.36","TLSv1.3","270","Application Data"
"203","4.794618","192.168.0.22","144.195.37.36","TLSv1.3","291","Application Data"
"204","4.794708","192.168.0.22","144.195.37.36","TLSv1.3","236","Application Data"
"205","4.794782","192.168.0.22","144.195.37.36","TLSv1.3","271","Application Data"
"206","4.800047","192.168.0.22","144.195.37.36","TLSv1.3","254","Application Data"
"207","4.816955","192.168.0.22","144.195.37.36","TLSv1.3","353","Application Data"
"208","4.817126","192.168.0.22","144.195.37.36","TLSv1.3","291","Application Data"
"209","4.817214","192.168.0.22","144.195.37.36","TLSv1.3","277","Application Data"
"210","4.817305","192.168.0.22","144.195.37.36","TLSv1.3","277","Application Data"
"211","4.817404","192.168.0.22","144.195.37.36","TLSv1.3","271","Application Data"
"212","4.817496","192.168.0.22","144.195.37.36","TLSv1.3","354","Application Data"
"213","4.817575","192.168.0.22","144.195.37.36","TLSv1.3","352","Application Data"
"214","4.817650","192.168.0.22","144.195.37.36","TLSv1.3","280","Application Data"
"215","4.817741","192.168.0.22","144.195.37.36","TLSv1.3","1560","Application Data"
"216","4.817854","192.168.0.22","144.195.37.36","TLSv1.3","437","Application Data"
"217","4.817938","192.168.0.22","144.195.37.36","TLSv1.3","300","Application Data"
"218","4.818022","192.168.0.22","144.195.37.36","TLSv1.3","391","Application Data"
"219","4.818105","192.168.0.22","144.195.37.36","TLSv1.3","384","Application Data"
"220","4.818189","192.168.0.22","144.195.37.36","TLSv1.3","452","Application Data"
"221","4.818282","192.168.0.22","144.195.37.36","TLSv1.3","1474","Application Data"
"222","4.818398","192.168.0.22","144.195.37.36","TLSv1.3","734","Application Data"
"223","4.818503","192.168.0.22","144.195.37.36","TLSv1.3","304","Application Data"
"224","4.821550","192.168.0.22","144.195.37.36","TLSv1.3","481","Application Data"
"225","4.821702","192.168.0.22","144.195.37.36","TLSv1.3","521","Application Data"
"226","4.821773","192.168.0.22","144.195.37.36","TLSv1.3","326","Application Data"
"227","4.821871","192.168.0.22","144.195.37.36","TLSv1.3","432","Application Data"
"228","4.821919","192.168.0.22","144.195.37.36","TLSv1.3","366","Application Data"
"229","4.822002","192.168.0.22","144.195.37.36","TLSv1.3","447","Application Data"
"230","4.822092","192.168.0.22","144.195.37.36","TLSv1.3","280","Application Data"
"231","4.822168","192.168.0.22","144.195.37.36","TLSv1.3","245","Application Data"
"232","4.822245","192.168.0.22","144.195.37.36","TLSv1.3","336","Application Data"
"233","4.822321","192.168.0.22","144.195.37.36","TLSv1.3","338","Application Data"
"234","4.822397","192.168.0.22","144.195.37.36","TLSv1.3","352","Application Data"
"235","4.822472","192.168.0.22","144.195.37.36","TLSv1.3","437","Application Data"
"236","4.822548","192.168.0.22","144.195.37.36","TLSv1.3","441","Application Data"
"237","4.822624","192.168.0.22","144.195.37.36","TLSv1.3","437","Application Data"
"238","4.822701","192.168.0.22","144.195.37.36","TLSv1.3","441","Application Data"
"239","4.822776","192.168.0.22","144.195.37.36","TLSv1.3","437","Application Data"
"240","4.822852","192.168.0.22","144.195.37.36","TLSv1.3","441","Application Data"
"241","4.822897","192.168.0.22","144.195.37.36","TLSv1.3","437","Application Data"
"242","4.822940","192.168.0.22","144.195.37.36","TLSv1.3","441","Application Data"
"243","4.822986","192.168.0.22","144.195.37.36","TLSv1.3","1333","Application Data"
"244","4.823090","192.168.0.22","144.195.37.36","TLSv1.3","497","Application Data"
"245","4.823170","192.168.0.22","144.195.37.36","TLSv1.3","402","Application Data"
"246","4.869064","144.195.37.36","192.168.0.22","TLSv1.3","1474","Application Data, Application Data"
"247","4.869064","144.195.37.36","192.168.0.22","TLSv1.3","387","Application Data, Application Data, Application Data, Application Data"
"248","4.869189","192.168.0.22","144.195.37.36","TCP","54","64191  >  443 [ACK] Seq=23082 Ack=12527 Win=131840 Len=0"
"249","4.882429","192.168.0.22","170.114.15.96","TLSv1.2","459","Application Data"
"250","4.898301","144.195.37.36","192.168.0.22","TCP","54","443  >  64191 [ACK] Seq=12527 Ack=4673 Win=57344 Len=0"
"251","4.898301","144.195.37.36","192.168.0.22","TLSv1.3","134","Application Data"
"252","4.898404","192.168.0.22","144.195.37.36","TLSv1.3","517","Application Data"
"253","4.911835","144.195.37.36","192.168.0.22","TCP","66","443  >  64192 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"254","4.911989","192.168.0.22","144.195.37.36","TCP","54","64192  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"255","4.912370","192.168.0.22","144.195.37.36","TLSv1.3","571","Client Hello"
"256","4.927245","144.195.37.36","192.168.0.22","TCP","54","443  >  64191 [ACK] Seq=12607 Ack=5274 Win=61440 Len=0"
